X,Y,OBJECTID,Project,BLM_AdminState,District,FieldOffice,EvaluationID,PointID,StreamName,FieldEvalDate,SampledMidLatitude,SampledMidLongitude,BottomReachLatitude,BottomReachLongitude,TopReachLatitude,TopReachLongitude,ProtocolReachLength,ProtocolType,ProtocolVersion,FieldStatus,PointSelectionType,OriginalDesign,OriginalStratum,StreamOrder,DefaultBenchmarkGroup,PctOverheadCover,PctBankOverheadCover,VegComplexity,VegComplexityWoody,VegComplexityUnderstoryGround,PctNoxiousWoodySpecies,PctNativeWoodySpecies,PctNoxiousHerbSpecies,PctSedgeRushSpecies,PctEquisetumSpecies,InvasiveInvertSpecies,ObservedInvertRichness,ExpectedInvertRichness,OE_Macroinvertebrate,MMI_Macroinvertebrate,OE_MMI_ModelUsed,OE_MMI_ModelApplicability,MacroinvertebrateCount,TotalNitrogen,PredictedTotalNitrogen,TotalPhosphorous,PredictedTotalPhosphorous,SpecificConductance,PredictedSpecificConductance,pH,InstantTemp,AugTempAvg,TurbidityAvg,PoolCount,PctPools,PoolFreq,ResPoolDepthAvg,LgWoodInChanCount,LgWoodInChanFreq,LgWoodInChanVol,LgWoodAboveChanCount,LgWoodAboveChanFreq,LgWoodAboveChanVol,PctFinesLessThan2mm,PctFinesLessThan6mm,D16,D84,D50,GeometricMeanParticleDiam,PctPoolTailFinesLessThan2mm,PctPoolTailFinesLessThan6mm,PctBankCoveredMIM,PctBankStable,PctBankCoveredStableMIM,PctBankCoveredOld,PctBankCoveredStableOld,BankfullHeightAvg,BenchHeightAvg,ChannelIncision,FloodplainConnectivity,InstreamHabitatComplexity,BankAngleAvg,ThalwegDepthCV,ThalwegDepthAvg,PctDry,BankfullWidthAvg,WettedWidthAvg,EntrenchmentRiffle1,EntrenchmentRiffle2,PctSlope,Sinuosity,HumanInfluence,BeaverFlowMod,BeaverSigns,WaterWithdrawals,SideChannels,PhotoLink,CoreSubset,Supplementals,GreenlineVegComposition,EvaluationID_OLD,RecordID,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-160.751252,63.6685400000001,1,AK_AnchorageFO,AK,ANCHORAGE DISTRICT OFFICE,ANCHORAGE FIELD OFFICE,BS-LS-1001_2017-08-02,BS-LS-1001,Cascade Creek,2017/08/02 00:00:00+00,63.66854,-160.751252,63.669094,-160.751738,63.668098,-160.750427,150,Wadeable,http://aim.landscapetoolbox.org/wp-content/uploads/2020/11/Lotic_FieldProtocolForWadeableSystems_2017_FieldSeason.pdf,Full Reach,RandomGRTS,AK_AnchorageFO_BSWI_2017,BSWI,2,Interior Forested Lowlands and Uplands_SmallWadeable,71.8,96.8,1.45,0.48,0.48,,,,,,,,,,,,,,,,,,267.6,,6.74,6.2,,1.28,3,9.73,20,0.25,2,1.333,0.058,,,,0,0,45,189,98,93,,,,100,,98,98,0.16,0.34,-0.55,,0.72,,,,,3.67,2.87,1.3,1.52,3.15,1.17,None,None,Absent,Absent,Absent,https://gis.blm.doi.net/attachments/AIM/Lotic/AK/BS-LS-1001_2017-08-02/,No,,No,A166C631-6674-434E-A73B-6D9EA0BB4C99,BS-LS-1001_2017-08-02,{35947595-C4E7-4980-A2C2-427829CE4F06},mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00,mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00
-161.074438,62.1361850000001,2,AK_AnchorageFO,AK,ANCHORAGE DISTRICT OFFICE,ANCHORAGE FIELD OFFICE,BS-LS-1010_2018-08-03,BS-LS-1010,,2018/08/03 00:00:00+00,62.136185,-161.074438,62.136347,-161.074889,62.135557,-161.07374,150,Wadeable,http://aim.landscapetoolbox.org/wp-content/uploads/2020/11/Lotic_FieldProtocolForWadeableSystems_2018_FieldSeason.pdf,Full Reach,RandomGRTS,AK_AnchorageFO_BSWI_2017,BSWI,2,Interior Forested Lowlands and Uplands_SmallWadeable,38.9,92.2,1.72,0.98,0.93,,,,,,,,,,,,,,,,,,60.4,,7.71,4.7,,0.73,7,15.3,46.7,0.24,0,0,0,,,,0,1,23,100,52,48,,,,100,,100,100,0.45,0.52,-0.78,1.09,0.15,,,,,2.57,1.36,3,3,2.29,1.41,None,None,Absent,Absent,Absent,https://gis.blm.doi.net/attachments/AIM/Lotic/AK/BS-LS-1010_2018-08-03/,No,,No,ACF4E0CF-8FFC-40EE-B9B8-63F239E5D55E,BS-LS-1010_2018-08-03,{0C18692D-7B10-48A3-B9A8-586526B76396},mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00,mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00
-160.108372,62.4283310000001,3,AK_AnchorageFO,AK,ANCHORAGE DISTRICT OFFICE,ANCHORAGE FIELD OFFICE,BS-LS-1018_2019-08-07,BS-LS-1018,,2019/08/07 00:00:00+00,62.428331,-160.108372,62.428396,-160.107068,62.428242,-160.108773,150,Wadeable,http://aim.landscapetoolbox.org/wp-content/uploads/2020/11/Lotic_FieldProtocolForWadeableSystems_2019_FieldSeason.pdf,Full Reach,RandomGRTS,AK_AnchorageFO_BSWI_2017,BSWI,3,Interior Bottomlands_SmallWadeable,83.8,93.6,1.37,0.8,0.7,0,,0,95,,,,,,,,,,,,,,97.6,,7.06,8.4,,4.4,8,33.83,53.3,0.36,46,27.879,3.895,,,,92.4,93.3,1,2,1,2,,,45,7,5,,,0.62,0.88,-0.45,1.25,,,,,,3.96,3.06,3,3,0.81,1.68,None,None,Rare,Absent,Absent,https://gis.blm.doi.net/attachments/AIM/Lotic/AK/BS-LS-1018_2019-08-07/,No,,No,03BDD0B8-5A00-4A8B-96D5-1B417B6F6E3B,BS-LS-1018_2019-08-07,{21386A0D-E334-48B1-B27E-55616169C05A},mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00,mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00
-156.802366,62.3804620000001,4,AK_AnchorageFO,AK,ANCHORAGE DISTRICT OFFICE,ANCHORAGE FIELD OFFICE,BS-LS-1023_2017-08-29,BS-LS-1023,Little East Fork,2017/08/29 00:00:00+00,62.380462,-156.802366,62.380719,-156.803782,62.380746,-156.80179,150,Wadeable,http://aim.landscapetoolbox.org/wp-content/uploads/2020/11/Lotic_FieldProtocolForWadeableSystems_2017_FieldSeason.pdf,Full Reach,RandomGRTS,AK_AnchorageFO_BSWI_2017,BSWI,3,Interior Forested Lowlands and Uplands_SmallWadeable,18.2,90.6,2.21,1.04,0.95,,,,,,,,,,,,,,,,,,103,,7.69,4.7,,1.02,4,77.67,26.7,0.78,10,6.667,1.123,,,,4.8,4.8,21,86,45,37,,,,90,,7,7,0.14,0.32,-0.55,,0.76,,,,,7.32,6.47,3,3,0.44,1.46,None,None,Common,Absent,Absent,https://gis.blm.doi.net/attachments/AIM/Lotic/AK/BS-LS-1023_2017-08-29/,No,,No,E493C9ED-B9DA-4361-B9AF-A8E34AFDCBDF,BS-LS-1023_2017-08-29,{AE144E25-DD02-4E74-923D-D484B2DBDE84},mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00,mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00
-160.286464,63.7600840000001,5,AK_AnchorageFO,AK,ANCHORAGE DISTRICT OFFICE,ANCHORAGE FIELD OFFICE,BS-LS-1024_2017-08-03,BS-LS-1024,,2017/08/03 00:00:00+00,63.760084,-160.286464,63.760542,-160.28687,63.760161,-160.285149,150,Wadeable,http://aim.landscapetoolbox.org/wp-content/uploads/2020/11/Lotic_FieldProtocolForWadeableSystems_2017_FieldSeason.pdf,Full Reach,RandomGRTS,AK_AnchorageFO_BSWI_2017,BSWI,3,Interior Forested Lowlands and Uplands_SmallWadeable,71.3,95.5,1.62,0.93,0.82,,,,,,,,,,,,,,,,,,169.4,,6.47,4.4,,2.57,0,0,0,,2,1.212,1.55,,,,4.8,9.5,13,120,52,40,,,,98,,98,95,0.13,0.22,-0.71,,0.5,,,,,1.55,1.31,2.83,3,1.25,1.59,None,None,Absent,Absent,Absent,https://gis.blm.doi.net/attachments/AIM/Lotic/AK/BS-LS-1024_2017-08-03/,No,,No,8453BE09-DEAD-47D7-95B7-55F0561EC0A9,BS-LS-1024_2017-08-03,{0C10B192-6063-4B70-805A-CBE7F303ED31},mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00,mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00
-161.102911,63.4783540000001,6,AK_AnchorageFO,AK,ANCHORAGE DISTRICT OFFICE,ANCHORAGE FIELD OFFICE,BS-LS-1033_2017-08-03,BS-LS-1033,Shorty Creek,2017/08/03 00:00:00+00,63.478354,-161.102911,63.478931,-161.10342,63.47778,-161.102384,150,Wadeable,http://aim.landscapetoolbox.org/wp-content/uploads/2020/11/Lotic_FieldProtocolForWadeableSystems_2017_FieldSeason.pdf,Full Reach,RandomGRTS,AK_AnchorageFO_BSWI_2017,BSWI,2,Subarctic Coastal Plains_SmallWadeable,97.2,97.9,2.18,1.48,1.47,,,,,,,,,,,,,,,,,,27.9,,5.97,9.4,,3.25,0,0,0,,0,0,0,,,,100,100,1,1,1,1,,,,100,,83,83,0.16,0.23,-0.77,,0.71,,,,,1.72,1.43,3,3,0.75,1.09,None,None,Absent,Absent,Absent,https://gis.blm.doi.net/attachments/AIM/Lotic/AK/BS-LS-1033_2017-08-03/,No,,No,3D9F08B6-AD43-4523-9B6A-15084D960B34,BS-LS-1033_2017-08-03,{7F2AB783-B85A-4D65-93C0-4BA45D49CDC2},mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00,mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00
-152.835363,63.4039710000001,7,AK_AnchorageFO,AK,ANCHORAGE DISTRICT OFFICE,ANCHORAGE FIELD OFFICE,BS-LS-1035_2017-08-27,BS-LS-1035,,2017/08/27 00:00:00+00,63.403971,-152.835363,63.40424,-152.83488,63.403523,-152.835623,150,Wadeable,http://aim.landscapetoolbox.org/wp-content/uploads/2020/11/Lotic_FieldProtocolForWadeableSystems_2017_FieldSeason.pdf,Full Reach,RandomGRTS,AK_AnchorageFO_BSWI_2017,BSWI,3,Interior Bottomlands_SmallWadeable,43.6,74.9,1.78,0.83,0.73,,,,,,,,,,,,,,,,,,308.6,,7.55,4.3,,1.35,0,0,0,,90,54.545,9.789,,,,98.1,98.1,1,1,1,1,,,,95,,86,81,0.22,0.47,-0.46,,0.8,,,,,4.55,4.35,3,3,0.34,1.71,None,None,Common,Absent,Absent,https://gis.blm.doi.net/attachments/AIM/Lotic/AK/BS-LS-1035_2017-08-27/,No,,No,6419D59C-4391-47F1-AF3C-1A84581985B0,BS-LS-1035_2017-08-27,{0463B300-D691-49FD-B679-DEDF6E4D8EAF},mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00,mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00
-158.965217,61.8467860000001,8,AK_AnchorageFO,AK,ANCHORAGE DISTRICT OFFICE,ANCHORAGE FIELD OFFICE,BS-LS-1038_2019-08-10,BS-LS-1038,Iditarod River,2019/08/10 00:00:00+00,61.846786,-158.965217,61.846807,-158.9659,61.846391,-158.964088,150,Wadeable,http://aim.landscapetoolbox.org/wp-content/uploads/2020/11/Lotic_FieldProtocolForWadeableSystems_2019_FieldSeason.pdf,Full Reach,RandomGRTS,AK_AnchorageFO_BSWI_2017,BSWI,3,Interior Forested Lowlands and Uplands_SmallWadeable,65.6,100,1.49,0.86,0.73,0,,0,100,,,,,,,,,,,,,,189.2,,7.33,8.2,,3.69,3,14.15,20,0.71,1,0.667,0.053,,,,70.5,74.3,1,30,2,3,,,98,2,2,,,0.87,0.88,-0.95,1.01,,,,,,4.04,2.68,3,3,0.13,1.42,None,None,Absent,Absent,Absent,https://gis.blm.doi.net/attachments/AIM/Lotic/AK/BS-LS-1038_2019-08-10/,No,,No,E5A5E5AA-849D-4384-9AE8-BA582D640FCA,BS-LS-1038_2019-08-10,{0500BD4A-4117-43CD-8A73-73BDCCA202C7},mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00,mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00
-154.417926,62.410378,9,AK_AnchorageFO,AK,ANCHORAGE DISTRICT OFFICE,ANCHORAGE FIELD OFFICE,BS-LS-1046_2017-08-27,BS-LS-1046,,2017/08/27 00:00:00+00,62.410378,-154.417926,62.410716,-154.418995,62.409768,-154.41709,150,Wadeable,http://aim.landscapetoolbox.org/wp-content/uploads/2020/11/Lotic_FieldProtocolForWadeableSystems_2017_FieldSeason.pdf,Full Reach,RandomGRTS,AK_AnchorageFO_BSWI_2017,BSWI,2,Interior Forested Lowlands and Uplands_SmallWadeable,43.3,80.2,1.82,0.89,0.86,,,,,,,,,,,,,,,,,,27,,6.81,4.9,,6.52,0,0,0,,0,0,0,,,,100,100,1,1,1,1,,,,100,,90,90,0.15,0.3,-0.61,,0.52,,,,,1.82,1.06,3,3,1.33,1.04,None,None,Rare,Absent,Present,https://gis.blm.doi.net/attachments/AIM/Lotic/AK/BS-LS-1046_2017-08-27/,No,,No,E88D0B49-894C-4B6C-B596-109BB97D3490,BS-LS-1046_2017-08-27,{0B4C0A14-B2B5-4AED-847A-81AC85CE4ED7},mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00,mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00
-159.527426,64.6506590000001,10,AK_AnchorageFO,AK,ANCHORAGE DISTRICT OFFICE,ANCHORAGE FIELD OFFICE,BS-LS-1047_2017-08-11,BS-LS-1047,,2017/08/11 00:00:00+00,64.650659,-159.527426,64.651299,-159.527049,64.650168,-159.52811,150,Wadeable,http://aim.landscapetoolbox.org/wp-content/uploads/2020/11/Lotic_FieldProtocolForWadeableSystems_2017_FieldSeason.pdf,Full Reach,RandomGRTS,AK_AnchorageFO_BSWI_2017,BSWI,2,Interior Highlands_SmallWadeable,63.4,96,1.94,1.18,1.18,,,,,,,,,,,,,,,,,,535,,7.93,5.5,,2.49,0,0,0,,0,0,0,,,,0,0,30,122,62,58,,,,88,,100,88,0.16,0.34,-0.56,,0.52,,,,,2.01,1.8,3,3,1.06,1.11,None,None,Absent,Absent,Absent,https://gis.blm.doi.net/attachments/AIM/Lotic/AK/BS-LS-1047_2017-08-11/,No,,No,A60A2FFA-7888-4C7D-B3BD-713808077312,BS-LS-1047_2017-08-11,{ED391589-27B8-4383-9E1E-2BB415803D78},mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00,mrock@blm.gov_BLM_EGIS,2022/03/08 23:17:23+00
